Code,Branch / Collection Label,Research/Branch,Actual Location
chj0y,Chatham Square Children's Young Reader,,
chjr,Chatham Square Children's Reference,,
chy,Chatham Square Young Adult,,
chy01,Chatham Square YA Reference,,
chy0f,Chatham Square YA Fiction,,
chy0l,Chatham Square YA World Languages,,
chy0n,Chatham Square YA Non-Fiction,,
chy0v,Chatham Square YA Non-Print Media,,
chyr,Chatham Square Young Adult Reference,,
chzzz,Chatham Square (error code),,
ci,City Island,,
cia,City Island Adult,,
cia01,City Island Reference,,
cia03,City Island Closed Shelf Reference,,
cia0f,City Island Fiction,,
cia0l,City Island World Languages,,
cia0n,City Island Non-Fiction,,
cia0v,City Island Non-Print Media,,
ciar,City Island Adult Reference,,
cij,City Island Children,,
cij01,City Island Children's Reference,,
cij0a,City Island Children's Easy Book,,
cij0f,City Island Children's Fiction,,
cij0h,City Island Children's Holiday Book,,
cij0i,City Island Children's Picture Book,,
cij0l,City Island Children's World Languages,,
cij0n,City Island Children's Non-Fiction,,
cij0t,City Island Children's Fairy Tale,,
cij0v,City Island Children's Non-Print Media,,
cij0y,City Island Children's Young Reader,,
cijr,City Island Children's Reference,,
ciy,City Island Young Adult,,
ciy01,City Island YA Reference,,
ciy0f,City Island YA Fiction,,
ciy0l,City Island YA World Languages,,
ciy0n,City Island YA Non-Fiction,,
ciy0v,City Island YA Non-Print Media,,
ciyr,City Island Young Adult Reference,,
cizzz,City Island (error code),,
cl,Morningside Heights,,
cla,Morningside Heights Adult ,,
cla01,Morningside Heights Reference,,
cla03,Morningside Heights Closed Shelf Reference,,
cla0f,Morningside Heights Fiction,,
cla0l,Morningside Heights World Languages,,
cla0n,Morningside Heights Non-Fiction,,
cla0v,Morningside Heights Non-Print Media,,
clar,Morningside Heights Adult Reference,,
clj,Morningside Heights Children,,
clj01,Morningside Heights Children's Reference,,
clj0a,Morningside Heights Children's Easy Book,,
clj0f,Morningside Heights Children's Fiction,,
clj0h,Morningside Heights Children's Holiday Book,,
clj0i,Morningside Heights Children's Picture Book,,
clj0l,Morningside Heights Children's World Languages,,
clj0n,Morningside Heights Children's Non-Fiction,,
clj0t,Morningside Heights Children's Fairy Tale,,
clj0v,Morningside Heights Children's Non-Print Media,,
clj0y,Morningside Heights Children's Young Reader,,
cljr,Morningside Heights Children's Reference ,,
cly,Morningside Heights Young Adult,,
cly01,Morningside Heights YA Reference,,
cly0f,Morningside Heights YA Fiction,,
cly0l,Morningside Heights YA World Languages,,
cly0n,Morningside Heights YA Non-Fiction,,
cly0v,Morningside Heights YA Non-Print Media,,
clyr,Morningside Heights Young Adult Reference,,
clzzz,Morningside Heights (error code),,
cp,Clason's Point,,
cpa,Clason's Point Adult,,
cpa01,Clason's Point Reference,,
cpa03,Clason's Point Closed Shelf Reference,,
cpa0f,Clason's Point Fiction,,
cpa0l,Clason's Point World Languages,,
cpa0n,Clason's Point Non-Fiction,,
cpa0v,Clason's Point Non-Print Media,,
cpar,Clason's Point Adult Reference,,
cpj,Clason's Point Children ,,
cpj01,Clason's Point Children's Reference,,
cpj0a,Clason's Point Children's Easy Book,,
cpj0f,Clason's Point Children's Fiction,,
cpj0h,Clason's Point Children's Holiday Book,,
cpj0i,Clason's Point Children's Picture Book,,
cpj0l,Clason's Point Children's World Languages,,
cpj0n,Clason's Point Children's Non-Fiction,,
cpj0t,Clason's Point Children's Fairy Tale,,
cpj0v,Clason's Point Children's Non-Print Media,,
cpj0y,Clason's Point Children's Young Reader,,
cpjr,Clason's Point Children's Reference ,,
cpy,Clason's Point Young Adult ,,
cpy01,Clason's Point YA Reference,,
cpy0f,Clason's Point YA Fiction,,
cpy0l,Clason's Point YA World Languages,,
cpy0n,Clason's Point YA Non-Fiction,,
cpy0v,Clason's Point YA Non-Print Media,,
cpyr,Clason's Point Young Adult Reference ,,
cpzzz,Clason's Point (error code),,
cs,Columbus,,
csa,Columbus Adult ,,
csa01,Columbus Reference,,
csa03,Columbus Closed Shelf Reference,,
csa0f,Columbus Fiction,,
csa0l,Columbus World Languages,,
